민방위 비상급수시설명,소재지 주소,규모(일_톤),심도(m),용도,데이터기준일자
(구)사상구보건소,부산광역시 사상구 운산로 77-3 (덕포동),205,20,비음용,2022-07-01
SK사상공원 셀프주유소,부산광역시 사상구 백양대로 566 (감전동),60,150,비음용,2022-07-01
W모텔,부산광역시 사상구 광장로 93번길 6 (괘법동),70,100,비음용,2022-07-01
강변허브사우나,부산광역시 사상구 백양대로 366 (주례동),300,500,비음용,2022-07-01
고운어린이집,부산광역시 사상구 동주로 2-11 (주례동),267,25,비음용,2022-07-01
광우맨션,부산광역시 사상구 가야대로366번길 104 (주례동),95,110,비음용,2022-07-01
구덕고등학교,부산광역시 사상구 학감대로 81 (학장동),100,102,음용,2022-07-01
구덕농원,"부산광역시 사상구 학감대로 2 (학장동, 구덕농원)",50,180,음용,2022-07-01
구덕대림아파트,부산광역시 사상구 학감대로49번길 62 (학장동),48,180,비음용,2022-07-01
학장극동아파트,부산광역시 사상구 학감대로 109-43 (학장동),80,130,비음용,2022-07-01
다누림센터,부산광역시 사상구 가야대로196번길 51 (학장동),280,74,음용,2022-07-01
대덕여자고등학교,부산광역시 사상구 백양대로804번길 42-55 (덕포동),100,114,비음용,2022-07-01
대신세차장,부산광역시 사상구 광장로 96-12 (괘법동),92,150,비음용,2022-07-01
더좋은탕,"부산광역시 사상구 광장로105번길 25, 더좋은탕 1층 (괘법동)",80,150,비음용,2022-07-01
동아탕,부산광역시 사상구 엄궁북로 43 (엄궁동),90,300,비음용,2022-07-01
동양아파트,부산광역시 사상구 주례로 232 (학장동),40,100,음용,2022-07-01
동일1차아파트,부산광역시 사상구 백양대로494번길 10 (주례동),60,150,비음용,2022-07-01
동일2차아파트,부산광역시 사상구 양지로42번길 13 (주례동),95,110,비음용,2022-07-01
럭키탕,부산광역시 사상구 동주로 14 (주례동),80,100,비음용,2022-07-01
롯데캐슬리버,부산광역시 사상구 엄궁북로 61 (엄궁동),85,150,음용,2022-07-01
